Description,Amount,Type,Account
Received Check #9381 (11/7/2025),238.04,Credit,Accounts Receivable
DoorDash Driver Pay - TX,56.82,Credit,Accounts Receivable
Check #8246 - CA,259.98,Credit,Accounts Receivable
DoorDash Driver Pay #4035,282.38,Credit,Accounts Receivable
Square Deposit Online,173.78,Credit,Accounts Receivable
Check #9808 #7063,424.27,Credit,Accounts Receivable
Zelle from John Doe (9/10/2025),179.24,Credit,Accounts Receivable
Zelle from John Doe #3649,133.29,Credit,Accounts Receivable
Square Deposit (10/1/2025),243.36,Credit,Accounts Receivable
Client Check #2319 Online,430.72,Credit,Accounts Receivable
PayPal Business Online,467.57,Credit,Accounts Receivable
Square Deposit (12/13/2025),101.49,Credit,Accounts Receivable
Zelle from John Doe - NY,48.38,Credit,Accounts Receivable
PayPal Business #8808,11.53,Credit,Accounts Receivable
Zelle from John Doe #6147,472.23,Credit,Accounts Receivable
PayPal Business (2/22/2025),462.61,Credit,Accounts Receivable
Zelle from John Doe (12/19/2025),415.55,Credit,Accounts Receivable
Zelle from John Doe In-store,247.72,Credit,Accounts Receivable
DoorDash Driver Pay In-store,308.89,Credit,Accounts Receivable
Uber Payout - CA,492.06,Credit,Accounts Receivable
Cash App Transfer #9574,224.75,Credit,Accounts Receivable
PayPal Business Online,165.72,Credit,Accounts Receivable
Stripe Transfer #8276,30.43,Credit,Accounts Receivable
Square Deposit Online,325.59,Credit,Accounts Receivable
Zelle from John Doe - CA,124.11,Credit,Accounts Receivable
Square Deposit - TX,115.88,Credit,Accounts Receivable
DoorDash Driver Pay - TX,436.35,Credit,Accounts Receivable
Stripe Transfer (10/23/2025),365.4,Credit,Accounts Receivable
Cash App Transfer Online,484.38,Credit,Accounts Receivable
Square Deposit #7449,419.84,Credit,Accounts Receivable
Received Check #7313 #9630,204.47,Credit,Accounts Receivable
Received Check #4728 #7477,202.42,Credit,Accounts Receivable
Zelle from John Doe - TX,146.89,Credit,Accounts Receivable
Square Deposit In-store,254.16,Credit,Accounts Receivable
Uber Payout - NY,187.34,Credit,Accounts Receivable
Received Check #9573,32.76,Credit,Accounts Receivable
Uber Payout (8/19/2025),289.79,Credit,Accounts Receivable
Square Deposit (7/2/2025),77.76,Credit,Accounts Receivable
PayPal Business,261.62,Credit,Accounts Receivable
Zelle from John Doe - CA,90.0,Credit,Accounts Receivable
Zelle from John Doe,139.42,Credit,Accounts Receivable
Venmo Payment,347.73,Credit,Accounts Receivable
Check #3013 - TX,433.09,Credit,Accounts Receivable
Uber Payout (10/3/2025),371.29,Credit,Accounts Receivable
Client Check #3343 In-store,98.33,Credit,Accounts Receivable
Received Check #7948 #7528,410.51,Credit,Accounts Receivable
Cash App Transfer - TX,128.84,Credit,Accounts Receivable
Zelle from John Doe - CA,477.78,Credit,Accounts Receivable
Square Deposit Online,275.45,Credit,Accounts Receivable
Client Check #4237 In-store,287.64,Credit,Accounts Receivable
Zelle from John Doe (5/3/2025),317.45,Credit,Accounts Receivable
Client Check #7641,9.59,Credit,Accounts Receivable
Venmo Payment In-store,413.0,Credit,Accounts Receivable
Stripe Transfer - NY,308.16,Credit,Accounts Receivable
Client Check #8360 (4/1/2025),361.44,Credit,Accounts Receivable
DoorDash Driver Pay,309.87,Credit,Accounts Receivable
Venmo Payment,158.36,Credit,Accounts Receivable
Check #1501 - NY,496.01,Credit,Accounts Receivable
Client Check #4872 In-store,462.56,Credit,Accounts Receivable
Received Check #3148 (7/18/2025),28.51,Credit,Accounts Receivable
Uber Payout,88.26,Credit,Accounts Receivable
Uber Payout (2/2/2025),348.11,Credit,Accounts Receivable
Uber Payout (11/13/2025),137.06,Credit,Accounts Receivable
DoorDash Driver Pay #9038,392.9,Credit,Accounts Receivable
PayPal Business #8212,442.05,Credit,Accounts Receivable
Check #3133 (10/17/2025),99.98,Credit,Accounts Receivable
Check #2489 - NY,367.73,Credit,Accounts Receivable
PayPal Business (3/27/2025),7.51,Credit,Accounts Receivable
PayPal Business - CA,160.34,Credit,Accounts Receivable
PayPal Business Online,97.99,Credit,Accounts Receivable
PayPal Business #8535,324.55,Credit,Accounts Receivable
Zelle from John Doe,193.74,Credit,Accounts Receivable
Cash App Transfer - NY,479.13,Credit,Accounts Receivable
Check #7609 Online,291.87,Credit,Accounts Receivable
PayPal Business In-store,73.44,Credit,Accounts Receivable
Stripe Transfer #9554,285.93,Credit,Accounts Receivable
Cash App Transfer - NY,297.25,Credit,Accounts Receivable
Client Check #7848 #7647,457.37,Credit,Accounts Receivable
Uber Payout Online,31.44,Credit,Accounts Receivable
Check #6708 - NY,124.72,Credit,Accounts Receivable
PayPal Business (1/4/2025),80.0,Credit,Accounts Receivable
Cash App Transfer #6389,81.38,Credit,Accounts Receivable
Uber Payout - NY,370.39,Credit,Accounts Receivable
Client Check #2816 Online,250.33,Credit,Accounts Receivable
Cash App Transfer In-store,204.77,Credit,Accounts Receivable
Zelle from John Doe Online,377.68,Credit,Accounts Receivable
Cash App Transfer,70.04,Credit,Accounts Receivable
DoorDash Driver Pay - TX,125.83,Credit,Accounts Receivable
Client Check #1020 (2/16/2025),360.63,Credit,Accounts Receivable
Client Check #4892 Online,54.07,Credit,Accounts Receivable
Check #6616 In-store,348.84,Credit,Accounts Receivable
Uber Payout - CA,310.64,Credit,Accounts Receivable
Stripe Transfer (1/15/2025),174.31,Credit,Accounts Receivable
Cash App Transfer,431.76,Credit,Accounts Receivable
Check #5168 In-store,205.77,Credit,Accounts Receivable
Cash App Transfer,452.64,Credit,Accounts Receivable
Uber Payout #3253,13.25,Credit,Accounts Receivable
Zelle from John Doe #5044,199.88,Credit,Accounts Receivable
Received Check #4588 Online,211.48,Credit,Accounts Receivable
Stripe Transfer - CA,160.89,Credit,Accounts Receivable
Received Check #1972 Online,206.43,Credit,Accounts Receivable
Stripe Transfer Online,389.93,Credit,Accounts Receivable
PayPal Business,442.71,Credit,Accounts Receivable
Uber Payout,70.0,Credit,Accounts Receivable
Client Check #8595 (5/23/2025),271.43,Credit,Accounts Receivable
DoorDash Driver Pay,268.16,Credit,Accounts Receivable
Cash App Transfer In-store,216.69,Credit,Accounts Receivable
Check #9059 (11/1/2025),409.45,Credit,Accounts Receivable
Check #3872,371.52,Credit,Accounts Receivable
Client Check #7509,68.51,Credit,Accounts Receivable
PayPal Business,234.87,Credit,Accounts Receivable
Square Deposit - NY,322.39,Credit,Accounts Receivable
Square Deposit,292.51,Credit,Accounts Receivable
Client Check #5821 #4123,345.84,Credit,Accounts Receivable
Stripe Transfer Online,68.03,Credit,Accounts Receivable
Check #1544 Online,180.44,Credit,Accounts Receivable
PayPal Business (7/14/2025),15.1,Credit,Accounts Receivable
Stripe Transfer (12/28/2025),125.26,Credit,Accounts Receivable
Zelle from John Doe,253.23,Credit,Accounts Receivable
Cash App Transfer (5/23/2025),496.68,Credit,Accounts Receivable
Client Check #3742,471.36,Credit,Accounts Receivable
Stripe Transfer (7/11/2025),397.07,Credit,Accounts Receivable
Venmo Payment - NY,254.45,Credit,Accounts Receivable
Received Check #8645,408.97,Credit,Accounts Receivable
Check #3889 (1/20/2025),347.52,Credit,Accounts Receivable
Received Check #8613,354.21,Credit,Accounts Receivable
Uber Payout In-store,220.7,Credit,Accounts Receivable
Client Check #3896 (11/16/2025),113.97,Credit,Accounts Receivable
Received Check #3427 Online,49.34,Credit,Accounts Receivable
Cash App Transfer (3/18/2025),7.3,Credit,Accounts Receivable
Received Check #5180 (3/1/2025),433.8,Credit,Accounts Receivable
DoorDash Driver Pay - TX,259.68,Credit,Accounts Receivable
Received Check #8772 - CA,202.19,Credit,Accounts Receivable
DoorDash Driver Pay In-store,24.66,Credit,Accounts Receivable
Received Check #3667 #5178,76.61,Credit,Accounts Receivable
Zelle from John Doe,86.08,Credit,Accounts Receivable
Check #4233 (2/4/2025),140.07,Credit,Accounts Receivable
Stripe Transfer #9628,83.71,Credit,Accounts Receivable
Square Deposit #2914,343.29,Credit,Accounts Receivable
Stripe Transfer Online,99.82,Credit,Accounts Receivable
DoorDash Driver Pay - NY,192.41,Credit,Accounts Receivable
PayPal Business (4/4/2025),166.86,Credit,Accounts Receivable
Zelle from John Doe Online,212.36,Credit,Accounts Receivable
PayPal Business (2/21/2025),193.31,Credit,Accounts Receivable
Client Check #2420 (2/16/2025),150.72,Credit,Accounts Receivable
Uber Payout (11/19/2025),50.28,Credit,Accounts Receivable
PayPal Business In-store,354.43,Credit,Accounts Receivable
Stripe Transfer,150.01,Credit,Accounts Receivable
Square Deposit - CA,407.85,Credit,Accounts Receivable
PayPal Business Online,158.73,Credit,Accounts Receivable
Cash App Transfer In-store,279.35,Credit,Accounts Receivable
Venmo Payment (8/28/2025),29.04,Credit,Accounts Receivable
DoorDash Driver Pay In-store,11.82,Credit,Accounts Receivable
Venmo Payment - CA,266.49,Credit,Accounts Receivable
Received Check #5464,53.34,Credit,Accounts Receivable
Client Check #8781 (5/3/2025),14.66,Credit,Accounts Receivable
Zelle from John Doe,157.35,Credit,Accounts Receivable
Received Check #6295 In-store,474.72,Credit,Accounts Receivable
Client Check #9412 In-store,464.62,Credit,Accounts Receivable
Zelle from John Doe In-store,258.25,Credit,Accounts Receivable
Uber Payout #2487,93.72,Credit,Accounts Receivable
Zelle from John Doe (8/12/2025),60.28,Credit,Accounts Receivable
Zelle from John Doe (1/4/2025),92.75,Credit,Accounts Receivable
Venmo Payment #2556,213.15,Credit,Accounts Receivable
Square Deposit #3460,409.54,Credit,Accounts Receivable
Square Deposit In-store,165.06,Credit,Accounts Receivable
PayPal Business,273.37,Credit,Accounts Receivable
Square Deposit (4/6/2025),119.97,Credit,Accounts Receivable
Check #7099 In-store,98.54,Credit,Accounts Receivable
Client Check #9621,442.05,Credit,Accounts Receivable
Received Check #7734,202.49,Credit,Accounts Receivable
Client Check #7338 - TX,253.53,Credit,Accounts Receivable
PayPal Business,281.87,Credit,Accounts Receivable
Venmo Payment Online,383.99,Credit,Accounts Receivable
DoorDash Driver Pay #4514,219.08,Credit,Accounts Receivable
Stripe Transfer,363.16,Credit,Accounts Receivable
Venmo Payment Online,432.15,Credit,Accounts Receivable
Cash App Transfer Online,96.11,Credit,Accounts Receivable
Client Check #4765,69.55,Credit,Accounts Receivable
Uber Payout Online,246.26,Credit,Accounts Receivable
DoorDash Driver Pay #3115,347.23,Credit,Accounts Receivable
Received Check #2709 In-store,356.56,Credit,Accounts Receivable
Zelle from John Doe,167.72,Credit,Accounts Receivable
Zelle from John Doe (9/18/2025),227.24,Credit,Accounts Receivable
Stripe Transfer,288.33,Credit,Accounts Receivable
Square Deposit In-store,271.26,Credit,Accounts Receivable
Client Check #1559 #1312,385.72,Credit,Accounts Receivable
Client Check #8246 (5/16/2025),424.08,Credit,Accounts Receivable
Square Deposit - NY,97.95,Credit,Accounts Receivable
Venmo Payment Online,309.26,Credit,Accounts Receivable
Stripe Transfer #3426,181.93,Credit,Accounts Receivable
DoorDash Driver Pay #8005,327.42,Credit,Accounts Receivable
PayPal Business Online,77.05,Credit,Accounts Receivable
Uber Payout (4/8/2025),119.71,Credit,Accounts Receivable
PayPal Business - NY,430.03,Credit,Accounts Receivable
Square Deposit (2/6/2025),286.55,Credit,Accounts Receivable
Zelle from John Doe #9807,27.46,Credit,Accounts Receivable
Stripe Transfer Online,239.86,Credit,Accounts Receivable
Uber Payout - NY,301.24,Credit,Accounts Receivable
Square Deposit - TX,388.66,Credit,Accounts Receivable
Client Check #5003 Online,118.73,Credit,Accounts Receivable
Zelle from John Doe - CA,419.09,Credit,Accounts Receivable
Received Check #1304 In-store,77.95,Credit,Accounts Receivable
Cash App Transfer #3730,68.03,Credit,Accounts Receivable
DoorDash Driver Pay,413.38,Credit,Accounts Receivable
Uber Payout,170.99,Credit,Accounts Receivable
Client Check #1488 - TX,440.48,Credit,Accounts Receivable
DoorDash Driver Pay In-store,139.26,Credit,Accounts Receivable
Received Check #9183 - TX,450.41,Credit,Accounts Receivable
Check #4530 In-store,324.65,Credit,Accounts Receivable
Venmo Payment - CA,23.22,Credit,Accounts Receivable
Client Check #7032 (4/12/2025),448.87,Credit,Accounts Receivable
Cash App Transfer,150.16,Credit,Accounts Receivable
Uber Payout,27.8,Credit,Accounts Receivable
Square Deposit (3/12/2025),62.03,Credit,Accounts Receivable
DoorDash Driver Pay In-store,475.95,Credit,Accounts Receivable
Square Deposit,429.26,Credit,Accounts Receivable
PayPal Business - TX,258.94,Credit,Accounts Receivable
Venmo Payment #9491,163.99,Credit,Accounts Receivable
Received Check #2491 - NY,476.24,Credit,Accounts Receivable
Uber Payout - NY,22.34,Credit,Accounts Receivable
PayPal Business - TX,305.22,Credit,Accounts Receivable
Zelle from John Doe (2/15/2025),294.21,Credit,Accounts Receivable
DoorDash Driver Pay In-store,226.56,Credit,Accounts Receivable
Uber Payout (5/10/2025),86.9,Credit,Accounts Receivable
DoorDash Driver Pay #4527,244.85,Credit,Accounts Receivable
Check #4494 - CA,283.68,Credit,Accounts Receivable
Check #8974 #1931,432.21,Credit,Accounts Receivable
Venmo Payment - CA,283.05,Credit,Accounts Receivable
Cash App Transfer In-store,302.39,Credit,Accounts Receivable
Received Check #6120 Online,87.31,Credit,Accounts Receivable
Cash App Transfer Online,196.26,Credit,Accounts Receivable
PayPal Business Online,374.12,Credit,Accounts Receivable
Received Check #5922 - NY,382.63,Credit,Accounts Receivable
Zelle from John Doe (8/26/2025),131.24,Credit,Accounts Receivable
PayPal Business #4492,202.41,Credit,Accounts Receivable
Square Deposit - CA,350.75,Credit,Accounts Receivable
Venmo Payment (4/2/2025),375.83,Credit,Accounts Receivable
Received Check #3198 In-store,175.47,Credit,Accounts Receivable
Stripe Transfer Online,103.6,Credit,Accounts Receivable
Client Check #3343 (5/25/2025),236.56,Credit,Accounts Receivable
Check #6280 #9067,245.04,Credit,Accounts Receivable
Client Check #6822 In-store,79.01,Credit,Accounts Receivable
PayPal Business - CA,138.7,Credit,Accounts Receivable
Cash App Transfer #4301,378.85,Credit,Accounts Receivable
Venmo Payment (7/16/2025),233.98,Credit,Accounts Receivable
PayPal Business - TX,146.99,Credit,Accounts Receivable
DoorDash Driver Pay,280.55,Credit,Accounts Receivable
Check #2430 (1/1/2025),433.97,Credit,Accounts Receivable
Stripe Transfer In-store,241.94,Credit,Accounts Receivable
PayPal Business - NY,243.9,Credit,Accounts Receivable
Square Deposit #3675,72.07,Credit,Accounts Receivable
Zelle from John Doe In-store,64.5,Credit,Accounts Receivable
Zelle from John Doe (9/13/2025),247.64,Credit,Accounts Receivable
Stripe Transfer In-store,161.47,Credit,Accounts Receivable
Check #4676 #8265,249.95,Credit,Accounts Receivable
Received Check #8795 (10/5/2025),475.43,Credit,Accounts Receivable
Client Check #8376,214.88,Credit,Accounts Receivable
Stripe Transfer,473.27,Credit,Accounts Receivable
PayPal Business,196.53,Credit,Accounts Receivable
Venmo Payment - TX,302.84,Credit,Accounts Receivable
Client Check #9041,223.78,Credit,Accounts Receivable
Received Check #4293 In-store,488.97,Credit,Accounts Receivable
Check #9614 - TX,489.89,Credit,Accounts Receivable
Square Deposit (5/17/2025),199.16,Credit,Accounts Receivable
DoorDash Driver Pay - TX,109.17,Credit,Accounts Receivable
Venmo Payment Online,377.34,Credit,Accounts Receivable
Square Deposit (12/20/2025),393.04,Credit,Accounts Receivable
DoorDash Driver Pay,142.73,Credit,Accounts Receivable
Zelle from John Doe (6/1/2025),134.84,Credit,Accounts Receivable
Zelle from John Doe #2646,11.45,Credit,Accounts Receivable
Client Check #5075,92.24,Credit,Accounts Receivable
Received Check #1488 Online,204.04,Credit,Accounts Receivable
Zelle from John Doe,449.23,Credit,Accounts Receivable
Cash App Transfer (11/4/2025),89.73,Credit,Accounts Receivable
Check #8105 (6/19/2025),431.68,Credit,Accounts Receivable
Uber Payout (7/1/2025),319.68,Credit,Accounts Receivable
Venmo Payment (9/7/2025),32.88,Credit,Accounts Receivable
PayPal Business #9306,426.17,Credit,Accounts Receivable
Received Check #5021 - CA,182.87,Credit,Accounts Receivable
Venmo Payment - CA,122.03,Credit,Accounts Receivable
Client Check #2833 In-store,356.99,Credit,Accounts Receivable
Square Deposit (4/24/2025),109.42,Credit,Accounts Receivable
Square Deposit (10/27/2025),372.91,Credit,Accounts Receivable
DoorDash Driver Pay,284.5,Credit,Accounts Receivable
PayPal Business (3/25/2025),87.29,Credit,Accounts Receivable
Square Deposit #9700,427.79,Credit,Accounts Receivable
Check #8776 (10/19/2025),467.21,Credit,Accounts Receivable
Cash App Transfer In-store,182.31,Credit,Accounts Receivable
DoorDash Driver Pay - NY,71.07,Credit,Accounts Receivable
Square Deposit (5/1/2025),72.33,Credit,Accounts Receivable
Cash App Transfer #4942,70.54,Credit,Accounts Receivable
Square Deposit Online,160.76,Credit,Accounts Receivable
Venmo Payment - TX,211.88,Credit,Accounts Receivable
Uber Payout - NY,487.36,Credit,Accounts Receivable
Cash App Transfer - CA,170.17,Credit,Accounts Receivable
Received Check #3588,39.37,Credit,Accounts Receivable
Stripe Transfer (1/8/2025),384.39,Credit,Accounts Receivable
Square Deposit #9895,206.63,Credit,Accounts Receivable
Cash App Transfer #8012,274.08,Credit,Accounts Receivable
Venmo Payment (6/16/2025),130.04,Credit,Accounts Receivable
DoorDash Driver Pay In-store,252.72,Credit,Accounts Receivable
Uber Payout (5/3/2025),94.59,Credit,Accounts Receivable
Uber Payout In-store,255.21,Credit,Accounts Receivable
Zelle from John Doe (1/21/2025),48.86,Credit,Accounts Receivable
